Area in Sq/m,Price
500,2000000
550,2050000
600,3000000
650,3050000
700,4000000
750,4050000
800,5000000
850,5050000
900,6000000
950,6050000
1000,7000000
1200,8560000
450,1599000
820,5500000
560,2500000
1900,9000000
840,5058500
2500,9750400
470,1500000
660,3600450
1560,9800245
423,1230000
846,4505000
503,2050200
643,3300450
941,8700000
586,2400500
580,2400000
1350,7850450
1400,8000000
2450,10050050
2000,10000000
3000,20000000
2894,19850000
399,100000
1532,8500000
2564,15500000
4862,39850000
523,2200000
699,4000000

